상권_코드,상권_코드_명,자치구_코드_명,행정동_코드_명,상권_구분_코드_명,점포당_매출액,log_sps,당월_매출_금액,log_sales,총_유동인구_수,총_상주인구_수,log_population,유동인구_밀도,상주인구_밀도,20_40_유동인구_비율,여성_유동인구_비율,월_평균_소득_금액,log_income,여가_지출_총금액,지출_총금액,유사_업종_점포_수,점포_수,경쟁강도,주말_매출_비율,영역_면적,sps_mean,sps_growth,sps_cagr,sps_cv,sps_trend_slope,store_growth,sales_mean,sales_growth,상권유형,trend_class,scale_class
3110002,독립문역 1번,종로구,무악동,골목상권,13172401.5,16.393634479254164,52689606,17.779928783436834,513161.0,415.0,13.14834686377559,162748.0891820748,131.61650439250263,0.39100789031122785,0.5605881974662923,3463885.0,15.057901638192202,10180461.0,232465205.0,4,2,1.2685928134217122,0.2079315985016096,31531,17520577.203125,-0.191878472828156,-0.0518672043272195,0.2106706456830902,-569561.9146323529,0.0,72028544.1875,-0.191878472828156,쇠퇴상권,하락,中
3110003,세검정초등학교,종로구,부암동,골목상권,5096701.166666667,15.4441042545497,30580207,17.23586356027332,338321.0,3020.0,12.731753383691915,17660.437438012214,157.64472516573576,0.35079702412797314,0.533428312165074,3474789.0,15.061044603500287,54707608.0,1349699230.0,6,4,0.31320144072662737,0.3569332280844273,191570,6676608.036160715,-0.1774475007672711,-0.0476624544506646,0.2212446672679128,-244843.6128326331,0.0,40137894.0,-0.1774475007672711,쇠퇴상권,하락,小
3110006,부암동주민센터,종로구,부암동,골목상권,20504565.333333332,16.83615816727147,61513696,17.934770423426496,8844.0,445.0,9.087607606593886,966.7052882408237,48.64132216951227,0.35719131614654004,0.6431478968792401,3963935.0,15.19274802899391,11024632.0,267177363.0,3,3,0.3279190258618805,0.44622779616428837,91486,19140636.396875,0.0129651460023262,0.0032256457258261,0.1520445319004312,-186632.72071078437,-0.25,86165188.25,-0.2402761404982553,정체상권,정체,中
3110008,배화여자대학교(박노수미술관),종로구,청운효자동,골목상권,48353056.56521739,17.69404001602788,2224240602,21.522681392285353,1250106.0,4306.0,14.038739705615013,83751.33990781434,288.482152427913,0.4628471505616324,0.6068805365305022,3443668.0,15.052048030735598,103948914.0,2746062777.0,46,46,3.0817879729874584,0.3839126595531862,149264,47898096.32541312,0.2583880206018949,0.059140667493456,0.122620940970701,-511503.7125125221,0.3939393939393939,2064703555.0625,0.7541166347783989,성장상권,상승,大
3110009,자하문터널,종로구,부암동,골목상권,13760732.142857144,16.437329669781,192650250,19.076386931916463,166646.0,1540.0,12.02363308177367,9346.067995468464,86.36837795699527,0.4400645680064328,0.5461517228136289,3702978.0,15.124648188802164,41212214.0,982492942.0,14,14,0.7851670723363207,0.5944297502858159,178306,17275371.116326123,0.6423034064354751,0.132044107377464,0.4037862707337962,246580.7001952031,0.0769230769230769,245995010.75,0.7686344376997423,기대상권,상승,中
3110012,성곡미술관,종로구,사직동,골목상권,42905573.25,17.574512311354745,514866879,20.059418939778,574613.0,2099.0,13.261453790006007,46210.07173416541,168.80046321613537,0.5294572172923342,0.5663237692151065,5448355.0,15.510824469757353,55335090.0,1224738411.0,12,12,0.965033615337601,0.22840907775697103,124348,40279116.028554775,0.4660912288492556,0.1003738193276728,0.1526895960925718,304451.58536439034,0.0909090909090909,457387237.4375,0.5993722496537334,성장상권,상승,大
3110013,체부동홍종문가옥,종로구,사직동,골목상권,14293824.666666666,16.475338230428182,42881474,17.573950472456108,139097.0,353.0,11.842933999662948,81514.88513830287,206.86826066572903,0.48343961408225916,0.6100131562866201,3732442.0,15.132573537012968,8440927.0,190109278.0,3,3,1.7580872011251758,0.4323512060243078,17064,5939824.975,3.2628803490232605,0.4368974886814347,0.4913088859177119,425894.7704411765,-0.25,27749328.875,2.1971602617674453,기대상권,상승,小
3110014,경복고등학교,종로구,청운효자동,골목상권,2575530.8571428573,14.761566617215435,18028716,16.70747643346842,42552.0,678.0,10.658505636804035,6710.507640630175,106.9215120404977,0.3661872532430908,0.5315848843767625,5290159.0,15.48135904912378,9425497.0,246628270.0,7,7,1.1039094163473215,0.3465584016077462,63411,2848808.2228422617,-0.1487404994940239,-0.0394599160178829,0.1366647854449936,-55039.44533438376,0.0,20106461.9375,-0.148740499494024,쇠퇴상권,하락,小
3110015,청와대사랑채,종로구,청운효자동,골목상권,89208091.66666667,18.30648231839761,267624275,19.405094599592555,59489.0,550.0,10.993563510181952,8572.025533509128,79.25186241876685,0.5087327068869875,0.559666492965086,3980058.0,15.196807201271348,13813568.0,340654450.0,3,3,0.4322828859205464,0.32676253303255093,69399,65136006.80729167,1.1244967982734375,0.2072967185924337,0.235157084551027,3023396.94129902,-0.25,233442512.8125,0.5933725987050783,성장상권,상승,大
3110016,평창동동측,종로구,평창동,골목상권,14031257.4,16.45679814157032,70156287,18.066235996988862,23597.0,1896.0,10.068917241659864,451.3425322004981,36.26501000348114,0.4133152519388058,0.5971945586303343,4884771.0,15.401633168879503,67401456.0,1635958594.0,5,5,0.09563557490369498,0.3217222998132726,522818,13067317.2984375,0.2763767181264235,0.0629056569712098,0.146868363685184,88656.0924457283,-0.2857142857142857,85093156.0,-0.0883023441954117,기대상권,상승,中
3110017,정독도서관,종로구,가회동,골목상권,11306935.8,16.240926971443905,56534679,17.850364813124976,442774.0,638.0,13.000817019324833,52802.337368075845,76.0837159382267,0.4900716844259148,0.5392480136593386,3978549.0,15.19642798927134,18545568.0,488287266.0,5,5,0.5962673662870431,0.47050000938362097,83855,42365247.50833333,-0.6419690125223212,-0.2264646702093404,0.4828875621530953,-2791527.317647059,0.25,153753876.625,-0.5524612656529015,전통강호상권,하락,大
3110018,중앙고등학교,종로구,가회동,골목상권,13769677.15,16.43797949715644,275393543,19.43371170171826,461181.0,2635.0,13.041548037994415,27636.8114482957,157.90546047269763,0.47340198316929794,0.5217821202521353,3430192.0,15.0481270857807,55128487.0,1569319603.0,20,19,1.1985234191476102,0.33179308419732995,166872,11426805.203025792,0.9865021659079816,0.1871955518256602,0.1608334914600113,204354.6500035014,0.25,211837763.75,1.483127707384977,기대상권,상승,中
3110019,창덕궁,종로구,종로1?2?3?4가동,골목상권,26698117.666666668,17.100103658965324,560660471,20.144626061016535,591334.0,203.0,13.29013797166887,144231.32271518817,49.51340276592112,0.5681104079927757,0.46861672083796974,2496875.0,14.730550908437323,8813062.0,266124846.0,21,20,5.122076148198737,0.3450189267935745,40999,26689715.964606736,0.6344497702725863,0.1306882905116482,0.1490327206818154,108003.11353333032,0.6153846153846154,455608521.625,1.6402650135172545,성장상권,상승,大
3110020,서울국제고등학교,종로구,혜화동,골목상권,6514743.454545454,15.68957854360379,71662178,18.08747367685855,1936890.0,3738.0,14.476594668219297,144877.03078718248,279.5978816982318,0.662920454956141,0.5845122851581659,2736810.0,14.82230393193006,68238981.0,1893277180.0,11,8,0.8227867037668671,0.1830839972516604,133692,3959614.453717724,1.278309424429973,0.2285792517104052,0.2946024304959282,57183.63824891407,0.5714285714285714,44882160.125,2.580200524104244,기대상권,상승,小
